ad_id,deal_id,length_sec,target_demo,advertiser,brand,category,piggyback_with,sandwich_with
Ad1,D907,30,M25-54,ADV4,Brand7,Cat1,,
Ad2,D883,30,F18-34,ADV5,Brand2,Cat2,,
Ad3,D051,30,P25-54,ADV1,Brand10,Cat5,,
Ad4,D299,30,M25-54,ADV2,Brand10,Cat2,,
Ad5,D803,30,M25-54,ADV4,Brand5,Cat2,,
Ad6,D635,30,F18-34,ADV4,Brand10,Cat5,,
Ad7,D307,30,F18-34,ADV3,Brand8,Cat1,,
Ad8,D763,30,M25-54,ADV2,Brand6,Cat5,Ad9,
Ad9,D931,30,M25-54,ADV5,Brand2,Cat3,Ad8,
Ad10,D619,30,M25-54,ADV3,Brand2,Cat1,,
Ad11,D443,30,P25-54,ADV1,Brand4,Cat3,,Ad12
Ad12,D691,30,P25-54,ADV1,Brand3,Cat2,,Ad11
Ad13,D507,30,P25-54,ADV2,Brand1,Cat2,,
Ad14,D555,30,F18-34,ADV5,Brand7,Cat4,,
Ad15,D947,30,P25-54,ADV1,Brand1,Cat1,,
Ad16,D659,30,M25-54,ADV4,Brand4,Cat3,,
Ad17,D811,30,M25-54,ADV2,Brand8,Cat2,,
Ad18,D347,30,P25-54,ADV3,Brand8,Cat4,,
Ad19,D083,30,F18-34,ADV4,Brand9,Cat4,,
Ad20,D499,30,F18-34,ADV5,Brand9,Cat5,,
Ad21,D227,30,M25-54,ADV3,Brand8,Cat5,,
Ad22,D331,30,M25-54,ADV3,Brand9,Cat4,,
Ad23,D163,30,M25-54,ADV3,Brand3,Cat5,,
Ad24,D867,30,M25-54,ADV4,Brand7,Cat3,,
Ad25,D899,30,M25-54,ADV2,Brand1,Cat1,,
Ad26,D723,30,M25-54,ADV4,Brand4,Cat5,,
Ad27,D851,30,M25-54,ADV3,Brand10,Cat2,,
Ad28,D339,30,P25-54,ADV5,Brand3,Cat2,,
Ad29,D363,30,M25-54,ADV2,Brand8,Cat2,,
Ad30,D707,30,M25-54,ADV2,Brand3,Cat5,,
Ad31,D075,30,M25-54,ADV2,Brand4,Cat2,,
Ad32,D531,30,F18-34,ADV5,Brand6,Cat2,,
Ad33,D355,30,M25-54,ADV4,Brand2,Cat4,,
Ad34,D859,30,P25-54,ADV1,Brand8,Cat1,,
Ad35,D219,30,F18-34,ADV1,Brand3,Cat1,,
Ad36,D891,30,P25-54,ADV2,Brand10,Cat2,,
Ad37,D435,30,F18-34,ADV3,Brand9,Cat5,,
Ad38,D771,30,F18-34,ADV3,Brand7,Cat2,,
Ad39,D987,30,F18-34,ADV2,Brand8,Cat4,,
Ad40,D059,30,P25-54,ADV5,Brand3,Cat2,,
Ad41,D971,30,P25-54,ADV3,Brand5,Cat3,,
Ad42,D611,30,M25-54,ADV3,Brand10,Cat3,,
Ad43,D603,30,M25-54,ADV5,Brand6,Cat1,,
Ad44,D403,30,P25-54,ADV4,Brand7,Cat5,,
