break_id,demo_id,rating
B1,F18-34,5.52
B1,M25-54,5.52
B1,P25-54,5.52
B2,F18-34,4.91
B2,M25-54,4.91
B2,P25-54,4.91
B3,F18-34,4.56
B3,M25-54,4.56
B3,P25-54,4.56
B4,F18-34,6.37
B4,M25-54,6.37
B4,P25-54,6.37
B5,F18-34,4.64
B5,M25-54,4.64
B5,P25-54,4.64
B6,F18-34,5.72
B6,M25-54,5.72
B6,P25-54,5.72
B7,F18-34,6.22
B7,M25-54,6.22
B7,P25-54,6.22
B8,F18-34,5.7
B8,M25-54,5.7
B8,P25-54,5.7
B9,F18-34,2.89
B9,M25-54,2.89
B9,P25-54,2.89
B10,F18-34,5.36
B10,M25-54,5.36
B10,P25-54,5.36
B11,F18-34,6.21
B11,M25-54,6.21
B11,P25-54,6.21
B12,F18-34,4.4
B12,M25-54,4.4
B12,P25-54,4.4
B13,F18-34,3.4
B13,M25-54,3.4
B13,P25-54,3.4
B14,F18-34,7.69
B14,M25-54,7.69
B14,P25-54,7.69
B15,F18-34,4.84
B15,M25-54,4.84
B15,P25-54,4.84
B16,F18-34,11.05
B16,M25-54,11.05
B16,P25-54,11.05
B17,F18-34,17.27
B17,M25-54,17.27
B17,P25-54,17.27
B18,F18-34,26.18
B18,M25-54,26.18
B18,P25-54,26.18
B19,F18-34,32.84
B19,M25-54,32.84
B19,P25-54,32.84
B20,F18-34,45.89
B20,M25-54,45.89
B20,P25-54,45.89
B21,F18-34,52.28
B21,M25-54,52.28
B21,P25-54,52.28
B22,F18-34,54.47
B22,M25-54,54.47
B22,P25-54,54.47
B23,F18-34,52.07
B23,M25-54,52.07
B23,P25-54,52.07
B24,F18-34,40.1
B24,M25-54,40.1
B24,P25-54,40.1
