break_id,demo_id,rating
B1,F18-34,0.59
B1,M25-54,1.05
B1,P25-54,2.44
B2,F18-34,2.45
B2,M25-54,1.88
B2,P25-54,0.79
B3,F18-34,2.1
B3,M25-54,1.87
B3,P25-54,2.6
B4,F18-34,2.07
B4,M25-54,2.19
B4,P25-54,1.89
B5,F18-34,2.59
B5,M25-54,0.89
B5,P25-54,2.22
B6,F18-34,1.18
B6,M25-54,1.0
B6,P25-54,1.35
B7,F18-34,2.25
B7,M25-54,2.74
B7,P25-54,0.84
B8,F18-34,1.69
B8,M25-54,1.36
B8,P25-54,2.32
B9,F18-34,1.01
B9,M25-54,2.4
B9,P25-54,2.31
B10,F18-34,2.0
B10,M25-54,2.56
B10,P25-54,1.6
B11,F18-34,0.89
B11,M25-54,1.89
B11,P25-54,1.49
B12,F18-34,1.61
B12,M25-54,2.97
B12,P25-54,1.57
B13,F18-34,2.36
B13,M25-54,1.05
B13,P25-54,1.19
B14,F18-34,1.99
B14,M25-54,2.74
B14,P25-54,0.77
B15,F18-34,0.91
B15,M25-54,1.63
B15,P25-54,1.23
B16,F18-34,2.78
B16,M25-54,2.96
B16,P25-54,2.75
B17,F18-34,2.69
B17,M25-54,1.03
B17,P25-54,1.63
B18,F18-34,1.62
B18,M25-54,2.12
B18,P25-54,0.88
B19,F18-34,3.0
B19,M25-54,2.47
B19,P25-54,2.28
B20,F18-34,1.01
B20,M25-54,2.35
B20,P25-54,0.74
