deal_id,target_demo,I_d,J_d,CPM_d,impressions,completion,shortfall
D987,P25-54,72,12,1.63,54.47,0.7565277777777778,17.53
D347,P25-54,74,13,1.66,54.47,0.7360810810810811,19.53
D307,P25-54,74,13,1.67,54.47,0.7360810810810811,19.53
D299,P25-54,74,12,1.68,54.47,0.7360810810810811,19.53
D059,P25-54,72,12,1.63,52.28,0.7261111111111112,19.72
D571,P25-54,72,10,1.62,52.07,0.7231944444444445,19.93
D507,P25-54,73,11,1.66,52.28,0.7161643835616438,20.72
D355,P25-54,73,13,1.64,52.28,0.7161643835616438,20.72
D363,P25-54,77,13,1.64,54.47,0.7074025974025974,22.53
D763,P25-54,74,10,1.67,52.28,0.7064864864864865,21.72
D219,P25-54,74,13,1.63,52.28,0.7064864864864865,21.72
D499,P25-54,74,13,1.65,52.07,0.7036486486486486,21.93
D803,P25-54,79,13,1.68,54.47,0.6894936708860759,24.53
D707,P25-54,76,11,1.64,52.07,0.6851315789473684,23.93
D635,P25-54,80,14,1.67,54.47,0.680875,25.53
D883,P25-54,77,13,1.68,52.28,0.678961038961039,24.72
D931,P25-54,77,12,1.66,52.28,0.678961038961039,24.72
D443,P25-54,77,11,1.66,52.07,0.6762337662337662,24.93
D659,P25-54,77,10,1.66,52.07,0.6762337662337662,24.93
D227,P25-54,81,10,1.65,54.47,0.6724691358024691,26.53
D051,P25-54,81,13,1.68,54.47,0.6724691358024691,26.53
D339,P25-54,78,14,1.64,52.07,0.6675641025641026,25.93
D907,P25-54,82,12,1.68,54.47,0.6642682926829269,27.53
D555,P25-54,83,13,1.66,54.47,0.6562650602409639,28.53
D083,P25-54,82,10,1.66,52.07,0.635,29.93
D811,P25-54,86,14,1.66,54.47,0.6333720930232558,31.53
D531,P25-54,83,14,1.64,52.28,0.6298795180722891,30.72
D891,P25-54,74,11,1.63,45.89,0.6201351351351352,28.11
D331,P25-54,84,12,1.65,52.07,0.6198809523809524,31.93
D867,P25-54,88,13,1.65,54.47,0.6189772727272728,33.53
D603,P25-54,85,11,1.63,52.28,0.6150588235294118,32.72
D899,P25-54,85,11,1.65,52.28,0.6150588235294118,32.72
D619,P25-54,85,14,1.66,52.28,0.6150588235294118,32.72
D971,P25-54,76,12,1.63,45.89,0.6038157894736842,30.11
D947,P25-54,87,12,1.66,52.28,0.600919540229885,34.72
D723,P25-54,87,11,1.65,52.07,0.5985057471264368,34.93
D691,P25-54,87,13,1.66,52.07,0.5985057471264368,34.93
D667,P25-54,77,10,1.62,45.89,0.5959740259740259,31.11
D163,P25-54,88,13,1.65,52.28,0.5940909090909091,35.72
D995,P25-54,79,13,1.62,45.89,0.5808860759493671,33.11
D851,P25-54,80,11,1.64,45.89,0.573625,34.11
D075,P25-54,82,12,1.64,45.89,0.5596341463414635,36.11
D611,P25-54,83,14,1.63,45.89,0.5528915662650602,37.11
D675,P25-54,73,13,1.62,40.1,0.5493150684931507,32.9
D747,P25-54,84,10,1.62,45.89,0.5463095238095238,38.11
D267,P25-54,74,12,1.59,40.1,0.5418918918918919,33.9
D043,P25-54,85,12,1.62,45.89,0.5398823529411765,39.11
D771,P25-54,86,10,1.63,45.89,0.5336046511627907,40.11
D371,P25-54,86,12,1.61,45.89,0.5336046511627907,40.11
D435,P25-54,86,10,1.63,45.89,0.5336046511627907,40.11
D403,P25-54,86,14,1.62,45.89,0.5336046511627907,40.11
D579,P25-54,76,11,1.62,40.1,0.5276315789473685,35.9
D131,P25-54,76,10,1.61,40.1,0.5276315789473685,35.9
D939,P25-54,77,10,1.61,40.1,0.5207792207792208,36.9
D091,P25-54,77,13,1.61,40.1,0.5207792207792208,36.9
D251,P25-54,77,12,1.61,40.1,0.5207792207792208,36.9
D491,P25-54,83,10,1.62,40.1,0.48313253012048196,42.9
D787,P25-54,86,13,1.61,40.1,0.4662790697674419,45.9
D859,P25-54,87,12,1.63,40.1,0.46091954022988507,46.9
D195,P25-54,72,10,1.59,32.84,0.45611111111111113,39.16
D651,P25-54,73,11,1.59,32.84,0.4498630136986302,40.16
D955,P25-54,74,14,1.6,32.84,0.4437837837837838,41.16
D875,P25-54,75,12,1.59,32.84,0.43786666666666674,42.16
D563,P25-54,75,11,1.61,32.84,0.43786666666666674,42.16
D467,P25-54,80,14,1.6,32.84,0.41050000000000003,47.16
D3,P25-54,80,12,1.6,32.84,0.41050000000000003,47.16
D501,M25-54,43,7,1.57,17.27,0.40162790697674416,25.73
