break_id,ad_id,deal_id,length_sec,target_demo,advertiser,brand,category,status
B1,Ad38,D6,60,P25-54,ADV4,BrandF,CatZ,Scheduled
B3,Ad40,D6,30,P25-54,ADV4,BrandF,CatZ,Scheduled
B4,Ad17,D3,15,P25-54,ADV1,BrandC,CatX,Scheduled
B4,Ad20,D3,15,P25-54,ADV1,BrandC,CatX,Scheduled
B5,Ad41,D6,30,P25-54,ADV4,BrandF,CatZ,Scheduled
B10,Ad43,D7,15,M25-54,ADV4,BrandG,CatX,Scheduled
B11,Ad29,D4,15,P25-54,ADV3,BrandD,CatZ,Scheduled
B12,Ad1,D1,60,M25-54,ADV2,BrandA,CatZ,Scheduled
B12,Ad2,D1,15,M25-54,ADV2,BrandA,CatZ,Scheduled
B12,Ad3,D1,30,M25-54,ADV2,BrandA,CatZ,Scheduled
B12,Ad4,D1,30,M25-54,ADV2,BrandA,CatZ,Scheduled
B12,Ad44,D7,60,M25-54,ADV4,BrandG,CatX,Scheduled
B12,Ad45,D7,60,M25-54,ADV4,BrandG,CatX,Scheduled
B12,Ad46,D7,15,M25-54,ADV4,BrandG,CatX,Scheduled
B12,Ad47,D7,60,M25-54,ADV4,BrandG,CatX,Scheduled
B12,Ad5,D1,60,M25-54,ADV2,BrandA,CatZ,Scheduled
B12,Ad6,D1,15,M25-54,ADV2,BrandA,CatZ,Scheduled
B14,Ad48,D8,15,M25-54,ADV4,BrandH,CatX,Scheduled
B16,Ad13,D3,60,P25-54,ADV1,BrandC,CatX,Scheduled
B16,Ad14,D3,30,P25-54,ADV1,BrandC,CatX,Scheduled
B16,Ad15,D3,15,P25-54,ADV1,BrandC,CatX,Scheduled
B16,Ad16,D3,15,P25-54,ADV1,BrandC,CatX,Scheduled
B16,Ad18,D3,60,P25-54,ADV1,BrandC,CatX,Scheduled
B16,Ad19,D3,30,P25-54,ADV1,BrandC,CatX,Scheduled
B16,Ad21,D3,15,P25-54,ADV1,BrandC,CatX,Scheduled
B16,Ad22,D3,30,P25-54,ADV1,BrandC,CatX,Scheduled
B16,Ad23,D4,60,P25-54,ADV3,BrandD,CatZ,Scheduled
B16,Ad24,D4,60,P25-54,ADV3,BrandD,CatZ,Scheduled
B16,Ad25,D4,15,P25-54,ADV3,BrandD,CatZ,Scheduled
B16,Ad26,D4,60,P25-54,ADV3,BrandD,CatZ,Scheduled
B16,Ad27,D4,15,P25-54,ADV3,BrandD,CatZ,Scheduled
B16,Ad28,D4,30,P25-54,ADV3,BrandD,CatZ,Scheduled
B16,Ad39,D6,15,P25-54,ADV4,BrandF,CatZ,Scheduled
B16,Ad42,D6,15,P25-54,ADV4,BrandF,CatZ,Scheduled
B16,Ad49,D8,15,M25-54,ADV4,BrandH,CatX,Scheduled
B16,Ad50,D8,30,M25-54,ADV4,BrandH,CatX,Scheduled
B16,Ad51,D8,15,M25-54,ADV4,BrandH,CatX,Scheduled
B16,Ad52,D8,30,M25-54,ADV4,BrandH,CatX,Scheduled
B19,Ad10,D2,60,F18-34,ADV4,BrandB,CatY,Scheduled
B19,Ad30,D5,60,F18-34,ADV4,BrandE,CatX,Scheduled
B19,Ad31,D5,30,F18-34,ADV4,BrandE,CatX,Scheduled
B19,Ad32,D5,30,F18-34,ADV4,BrandE,CatX,Scheduled
B19,Ad33,D5,60,F18-34,ADV4,BrandE,CatX,Scheduled
B19,Ad34,D5,30,F18-34,ADV4,BrandE,CatX,Scheduled
B19,Ad35,D5,30,F18-34,ADV4,BrandE,CatX,Scheduled
B19,Ad36,D5,30,F18-34,ADV4,BrandE,CatX,Scheduled
B19,Ad37,D5,30,F18-34,ADV4,BrandE,CatX,Scheduled
B19,Ad7,D2,60,F18-34,ADV4,BrandB,CatY,Scheduled
B19,Ad8,D2,60,F18-34,ADV4,BrandB,CatY,Scheduled
B19,Ad9,D2,60,F18-34,ADV4,BrandB,CatY,Scheduled
BINNED,Ad11,D2,30,F18-34,ADV4,BrandB,CatY,Binned
BINNED,Ad12,D2,30,F18-34,ADV4,BrandB,CatY,Binned
