break_id,ad_id,position,gain_term,bin_penalty_term
B1,Ad38,1,4.88,0.0
B10,Ad43,1,1.792,0.0
B11,Ad29,1,0.894,0.0
B12,Ad6,1,1.9305,0.0
B12,Ad2,2,1.9305,0.0
B12,Ad47,3,8.316,0.0
B12,Ad45,4,8.316,0.0
B12,Ad5,5,7.722,0.0
B12,Ad1,6,7.722,0.0
B12,Ad4,7,3.861,0.0
B12,Ad46,8,2.079,0.0
B12,Ad3,9,3.861,0.0
B12,Ad44,10,8.316,0.0
B14,Ad48,1,1.781,0.0
B16,Ad13,1,8.8,0.0
B16,Ad18,2,8.8,0.0
B16,Ad23,3,6.6,0.0
B16,Ad24,4,6.6,0.0
B16,Ad26,5,6.6,0.0
B16,Ad14,6,4.4,0.0
B16,Ad19,7,4.4,0.0
B16,Ad25,8,1.65,0.0
B16,Ad49,9,1.924,0.0
B16,Ad22,10,4.4,0.0
B16,Ad21,11,2.2,0.0
B16,Ad52,12,3.848,0.0
B16,Ad15,13,2.2,0.0
B16,Ad39,14,1.375,0.0
B16,Ad51,15,1.924,0.0
B16,Ad27,16,1.65,0.0
B16,Ad28,17,3.3,0.0
B16,Ad50,18,3.848,0.0
B16,Ad16,19,2.2,0.0
B16,Ad42,20,1.375,0.0
B19,Ad34,1,4.5,0.0
B19,Ad8,2,6.6,0.0
B19,Ad9,3,6.6,0.0
B19,Ad30,4,9.0,0.0
B19,Ad10,5,6.6,0.0
B19,Ad33,6,9.0,0.0
B19,Ad37,7,4.5,0.0
B19,Ad36,8,4.5,0.0
B19,Ad35,9,4.5,0.0
B19,Ad32,10,4.5,0.0
B19,Ad31,11,4.5,0.0
B19,Ad7,12,6.6,0.0
B3,Ad40,1,2.6,0.0
B4,Ad17,1,1.512,0.0
B4,Ad20,2,1.512,0.0
B5,Ad41,1,2.22,0.0
